Timestamp,Roll Number,Attendance,Focus,Seeks Help,Actively participates in classroom discussions,Problem-solving practice,Self confidence,Prior Knowledge,Distractions,Motivation,Summary of the Student during the week
10/20/2017 9:38:59,20176040,Regular,Moderate,Moderate,Low,Low,Low,Adequate,Moderate,Low,"Understanding the code , but not practising. "
10/20/2017 9:41:16,20176050,Regular,Low,Moderate,Low,Low,Moderate,No,Moderate,,"Copies the code and understands it, Does not practice"
10/20/2017 9:42:12,20176002,Low,High,Moderate,High,Moderate,Moderate,No,None,High,"She understands the concepts well and fast but slow in implementation.
Fails in passing all the testcases.
Due to her health issues she is unable to be regular and lacking time to practice."
10/20/2017 9:45:22,20176109,Low,Low,Moderate,Low,Low,High,Adequate,High,High,Absent due to health reasons.  Had no practice on the modules he was absent.
10/20/2017 9:51:13,20176049,Low,Low,Moderate,Low,Low,Moderate,No,None,Low,"She has health issues(One among them is hearing problem).
Due to which she will be irregular to the class.
Consequences for it are:
She is unable to sync with the daily classroom discussions nor willing to participate in the discussion.
Unable to finish the module tasks. 
Weak in basics also."
10/20/2017 9:57:14,20176069,Regular,High,Moderate,High,High,Moderate,No,None,High,"She learns the concepts well but slow in implementation.
Actively participates in the discussion.
Does modules task well.
Fails in handling input reading."
10/20/2017 10:01:09,20176071,Moderate,Low,Moderate,Moderate,Low,Low,No,None,Low,"Conceptual understanding is good but very weak in implementation.
Cannot implement without help.
Basics are poor."
10/20/2017 19:19:34,20176037,Regular,Moderate,Moderate,Low,Low,Low,No,,,Slow in learning and submitting modules. Takes much time in watching videos. 
10/21/2017 9:42:50,20176024,Low,Moderate,Moderate,High,Low,Moderate,No,Low,Low,she is absent for 1.5(one and half day) in week2. 
10/21/2017 9:44:57,20176033,Regular,Moderate,High,High,Low,Moderate,No,Low,High,"he is regular to classes but due to lack of practice, unable to get marks in exams.  Classroom participation and asking doubts is good. "
10/21/2017 9:55:04,20176060,Low,Moderate,Moderate,Moderate,Low,Low,No,Moderate,Low,she is not feeling well sometimes. absent for one and half day for week2. if she can put efforts can learn. sometimes she study well but sometimes seems not interested to study.
10/21/2017 10:00:05,20176067,Moderate,Moderate,Moderate,High,Moderate,Moderate,No,Moderate,Low,she is good towards studies. but little bit over confidence. and absent for two half days(morning sessions). 
10/21/2017 10:06:05,20176094,Low,Low,Moderate,Low,Low,Low,No,High,Low,"she is absent for 2 days in week2. so many times uses mobile in lab, whatsapp and hangouts. not even interested to try for programming questions in exam even she have so much time."
10/21/2017 10:08:50,20176104,Moderate,Moderate,Moderate,Moderate,Low,Moderate,No,Moderate,Low,she is absent for one day in week2. in lab she is good. try to learn. but due to lack of practice unable to score good in exams. 
10/21/2017 10:12:16,20176105,Low,Moderate,Moderate,Moderate,Moderate,Moderate,Adequate,Low,Low,he is good towards studies but not coming regularly to classes and most of the times late comings. one day absent and two late comings. two days absent in week2. due to lack of practice unable to score good marks in exam.
10/24/2017 10:03:20,20176092,Regular,Low,Moderate,Moderate,Moderate,Low,No,High,Low,"Regular to class, losses focus if wasn't able to follow content in video. "
10/24/2017 10:09:25,20176060,Regular,Moderate,Moderate,Moderate,Low,Low,No,Moderate,Low,regular to classes but lack of practice. she did good work in labs but sometimes little bit distractions. she should increase her interest level
10/24/2017 10:10:57,20176010,Regular,Moderate,Moderate,Moderate,Low,Moderate,No,High,High,"He watched the videos but won't practice problem properly, both code and tracing."
10/24/2017 10:13:38,20176076,Regular,None,Moderate,Low,Low,Low,No,None,Low,"he is good towards his attitude in lab, no distractions, very very slow learner. he can understand what we are explaining, if we ask the same thing back he got tension to explain it back. too nervous."
10/24/2017 10:19:30,20176094,Regular,Low,None,Low,Low,Low,No,High,Low,"she is regular to labs this week, lack of practice and lack of interest. most of the times she used to tell headache and take rest for hours. uses mobile in lab more time. "
10/24/2017 10:27:00,20176096,Moderate,None,Moderate,Moderate,Low,Low,No,Moderate,Low,lack of practice and lack of interest
10/24/2017 10:28:12,20176028,Regular,Moderate,Moderate,Low,Moderate,Low,Adequate,Moderate,Low,Lack of practice. starts practising on the last day of exam. 
10/24/2017 10:30:53,20176104,Regular,Low,Moderate,Moderate,Low,Moderate,No,Moderate,Low,lack of practice. she can do better if she put some interest. cr works. 
10/24/2017 10:42:35,20176105,Moderate,Low,Moderate,Moderate,Moderate,Moderate,No,Low,Low,"absent for exam. regular to labs, no distractions, but lack of practice. "
10/24/2017 11:44:33,20176097,Moderate,Moderate,High,Moderate,Moderate,Moderate,No,Moderate,High,"Didn't practice well for the exam, couldn't concentrate because of health problem."
10/24/2017 17:30:05,20176002,Low,High,Moderate,High,Low,Moderate,No,,,"Since she is irregular to the class she didnt complete the modules.
She does the work on her own.Conceptually gud but little slow in implementation."
10/24/2017 17:31:43,20176002,Low,High,Moderate,High,Low,Moderate,No,None,High,"Since she is irregular to the class she didnt complete the modules.
She does the work on her own.Conceptually gud but little slow in implementation."
10/24/2017 17:35:04,20176059,Regular,Moderate,Moderate,Moderate,Low,Moderate,No,None,Low,She is not that interested towards the code but she understands the concepts well.Needs to be behind her as she cant carry the motivation.Often gets into the depression.
10/24/2017 19:45:25,20176014,Regular,High,None,High,Low,High,Adequate,Moderate,High,Did not practice almost during the daily module tasks with the confidence of already knowing the concepts and implementations and felt easy.
10/24/2017 19:53:01,20176040,Moderate,Low,Moderate,Low,Moderate,Moderate,No,High,,Does not complete basic codes(API's) on time. In the time given for solving the module problems she works on previous code with distractions.
10/24/2017 20:13:22,20176053,Moderate,High,High,High,Moderate,High,Adequate,Moderate,High,"Programs are correct, problem with input reading and mistakes in checking conditions at some place. Needs to apply debugging in order to cross check whether her conditional statements are giving the expected output"
10/24/2017 21:17:44,20176057,Regular,High,High,Low,Moderate,Moderate,,,,"Basic code of the programs are correct, didnot practice module programs"
10/24/2017 21:31:50,20176086,Regular,Moderate,High,Moderate,Moderate,High,,,,Slow in understanding. Implements code with his own logic(mostly the logic does not work) and spends a lot of time on it.
